rank,player,country,points,record,owr,oowp,deck,player_url
335,Nathan Schaal,US,26,8 - 4 - 2,54.53%,53.49%,raging-bolt,https://play.limitlesstcg.net/0070/player/3330
336,Raul Merino,PE,26,8 - 4 - 2,54.46%,57.99%,raging-bolt,https://play.limitlesstcg.net/0070/player/3098
337,Ryan Dingle,US,26,8 - 4 - 2,54.37%,56.13%,dipplin,https://play.limitlesstcg.net/0070/player/2783
338,Adrian Monin,US,26,8 - 4 - 2,54.17%,53.17%,ogerpon,https://play.limitlesstcg.net/0070/player/1338
339,Luke Paul,US,26,8 - 4 - 2,54.12%,55.03%,crustle,https://play.limitlesstcg.net/0070/player/3575
340,Brian McCoy,US,26,8 - 4 - 2,54.08%,55.58%,dragapult,https://play.limitlesstcg.net/0070/player/2055
341,Kevin Fuentes,US,26,8 - 4 - 2,53.13%,54.49%,slowking,https://play.limitlesstcg.net/0070/player/2264
342,Kristopher Kemp,US,26,8 - 4 - 2,53.06%,53.71%,alakazam,https://play.limitlesstcg.net/0070/player/2584
343,Elizabeth Barbera,US,26,8 - 4 - 2,52.58%,53.85%,dragapult,https://play.limitlesstcg.net/0070/player/2023
344,David Cooper,US,26,8 - 4 - 2,52.40%,55.26%,raging-bolt,https://play.limitlesstcg.net/0070/player/1463
345,Stephen Medel,US,26,8 - 4 - 2,52.23%,56.85%,dragapult,https://play.limitlesstcg.net/0070/player/1416
346,Jesper S.H Eriksen,DK,26,8 - 4 - 2,52.08%,58.50%,zoroark,https://play.limitlesstcg.net/0070/player/2105
347,Kyle Domingo,US,26,8 - 4 - 2,52.06%,55.14%,slowking,https://play.limitlesstcg.net/0070/player/3123
348,Adam Easterday,US,26,8 - 4 - 2,50.47%,52.87%,crustle,https://play.limitlesstcg.net/0070/player/1872
349,Jonathan Crespo,US,26,8 - 4 - 2,50.11%,54.02%,zoroark,https://play.limitlesstcg.net/0070/player/0207
350,Konstantinos Kousidis,US,25,8 - 5 - 1,65.10%,60.16%,crustle,https://play.limitlesstcg.net/0070/player/0135
351,Yerco Valencia,CL,25,8 - 5 - 1,63.14%,57.94%,ogerpon,https://play.limitlesstcg.net/0070/player/2368
352,Ben Kim,US,25,7 - 3 - 4,63.12%,59.08%,dragapult,https://play.limitlesstcg.net/0070/player/3371
353,Lance Boilard,US,25,8 - 5 - 1,62.88%,58.26%,ogerpon,https://play.limitlesstcg.net/0070/player/1803
354,Benjamin Menzner,US,25,7 - 3 - 4,62.42%,57.05%,dragapult,https://play.limitlesstcg.net/0070/player/1645
355,Walker Snedaker,US,25,8 - 5 - 1,62.25%,59.89%,dragapult,https://play.limitlesstcg.net/0070/player/1182
356,James Juliano,US,25,8 - 5 - 1,61.99%,56.34%,ogerpon,https://play.limitlesstcg.net/0070/player/2207
357,Joseph Tajaran,US,25,8 - 5 - 1,61.67%,59.27%,dragapult,https://play.limitlesstcg.net/0070/player/2880
358,George Guice,US,25,7 - 3 - 4,61.56%,54.74%,dragapult,https://play.limitlesstcg.net/0070/player/1945
359,Eduardo Melendez,US,25,7 - 3 - 4,61.54%,59.12%,zoroark,https://play.limitlesstcg.net/0070/player/0473
